customerId,accountId,balance
IND0325,ACC0001,687
IND0221,ACC0002,589
IND0147,ACC0003,194
IND0284,ACC0004,809
IND0458,ACC0005,634
IND0093,ACC0006,259
IND0516,ACC0007,549
IND0091,ACC0008,151
IND0487,ACC0009,4
IND0473,ACC0010,824
IND0096,ACC0011,830
IND0331,ACC0012,557
IND0126,ACC0013,276
IND0213,ACC0014,558
IND0318,ACC0015,504
IND0196,ACC0016,774
IND0445,ACC0017,205
IND0295,ACC0018,921
IND0450,ACC0019,347
IND0507,ACC0020,144
IND0456,ACC0021,498
IND0385,ACC0022,215
IND0350,ACC0023,352
IND0407,ACC0024,761
IND0062,ACC0025,285
IND0038,ACC0026,296
IND0437,ACC0027,116
IND0253,ACC0028,543
IND0300,ACC0029,640
IND0332,ACC0030,743
IND0286,ACC0031,343
IND0373,ACC0032,560
IND0500,ACC0033,679
IND0426,ACC0034,856
IND0103,ACC0035,657
IND0446,ACC0036,995
IND0386,ACC0037,776
IND0432,ACC0038,455
IND0051,ACC0039,191
IND0437,ACC0040,274
IND0450,ACC0041,884
IND0491,ACC0042,125
IND0314,ACC0043,321
IND0540,ACC0044,172
IND0454,ACC0045,625
IND0450,ACC0046,52
IND0041,ACC0047,783
IND0467,ACC0048,942
IND0168,ACC0049,696
IND0007,ACC0050,784
IND0069,ACC0051,869
IND0006,ACC0052,57
IND0537,ACC0053,775



